
z test of coefficients:

                               Estimate  Std. Error  z value  Pr(>|z|)    
(Intercept)                 16028.06958  1384.25314  11.5789 < 2.2e-16 ***
Bergen_price                   17.33004     3.72196   4.6562 3.222e-06 ***
e_crisis                      775.88677   592.97325   1.3085 0.1907145    
NonPrivate                      4.44439     0.35332  12.5788 < 2.2e-16 ***
factor(numroad)2             2715.76849   265.43149  10.2315 < 2.2e-16 ***
factor(numroad)3             2170.79517   405.19441   5.3574 8.442e-08 ***
factor(numroad)4            -5902.84257   722.58248  -8.1691 3.107e-16 ***
factor(numroad)5            -6924.42538   644.50839 -10.7437 < 2.2e-16 ***
factor(numroad)6            -2152.41963   545.90554  -3.9428 8.052e-05 ***
factor(numroad)7             -785.01041   384.55512  -2.0413 0.0412164 *  
factor(numroad)8            -6437.56844   897.94322  -7.1692 7.542e-13 ***
factor(numroad)9            -4929.95797   549.05929  -8.9789 < 2.2e-16 ***
factor(numroad)10           -4746.17702   269.26279 -17.6266 < 2.2e-16 ***
time_to_crisis::-40:e_treat  1689.38471   404.71283   4.1743 2.989e-05 ***
time_to_crisis::-39:e_treat  2475.00981   428.13217   5.7809 7.428e-09 ***
time_to_crisis::-38:e_treat  1739.31804   358.16546   4.8562 1.197e-06 ***
time_to_crisis::-36:e_treat  3065.90065   381.48152   8.0368 9.220e-16 ***
time_to_crisis::-35:e_treat  1685.11454   406.05383   4.1500 3.325e-05 ***
time_to_crisis::-34:e_treat  2097.76107   427.15411   4.9110 9.061e-07 ***
time_to_crisis::-33:e_treat  1206.15831   448.05949   2.6920 0.0071033 ** 
time_to_crisis::-32:e_treat  1404.57086   462.68167   3.0357 0.0023996 ** 
time_to_crisis::-31:e_treat  2023.90838   413.84204   4.8905 1.006e-06 ***
time_to_crisis::-30:e_treat -2258.25785   675.78863  -3.3417 0.0008328 ***
time_to_crisis::-29:e_treat  1125.62381   421.36975   2.6713 0.0075548 ** 
time_to_crisis::-28:e_treat  2110.53070   468.16963   4.5080 6.543e-06 ***
time_to_crisis::-27:e_treat  1663.99309   491.18839   3.3877 0.0007048 ***
time_to_crisis::-26:e_treat  2044.58526   517.33127   3.9522 7.744e-05 ***
time_to_crisis::-25:e_treat  2274.52938   406.99674   5.5886 2.289e-08 ***
time_to_crisis::-24:e_treat   686.77953   488.73613   1.4052 0.1599572    
time_to_crisis::-22:e_treat  2059.96390   465.37918   4.4264 9.581e-06 ***
time_to_crisis::-21:e_treat  1122.31970   379.65861   2.9561 0.0031153 ** 
