Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;År;Måned;Trafikkmengde;Konfidensintervall start;Konfidensintervall slutt;Dekningsgrad (%);Antall døgn total;Antall døgn inkludert;Antall døgn ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);Felt;< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
00378V444233;IKEA;EV18 S50D1 m1850;2013-01-01T00:00+01:00;2013-02-01T00:00+01:00;2013;1;13538;-;-;-;-;-;-;-;-;1;12995;543;250;114;78;101;-;-
00378V444233;IKEA;EV18 S50D1 m1850;2013-01-01T00:00+01:00;2013-02-01T00:00+01:00;2013;1;11733;-;-;-;-;-;-;-;-;2;11253;480;224;93;64;99;-;-
00378V444233;IKEA;EV18 S50D1 m1850;2013-01-01T00:00+01:00;2013-02-01T00:00+01:00;2013;1;15641;-;-;-;-;-;-;-;-;3;13609;2032;424;650;256;702;-;-
00378V444233;IKEA;EV18 S50D1 m1850;2013-01-01T00:00+01:00;2013-02-01T00:00+01:00;2013;1;17094;-;-;-;-;-;-;-;-;4;15028;2066;448;609;348;661;-;-
00378V444233;IKEA;EV18 S50D1 m1850;2013-01-01T00:00+01:00;2013-02-01T00:00+01:00;2013;1;4785;-;-;-;-;-;-;-;-;5;4485;300;110;62;114;14;-;-
00378V444233;IKEA;EV18 S50D1 m1850;2013-01-01T00:00+01:00;2013-02-01T00:00+01:00;2013;1;5857;-;-;-;-;-;-;-;-;6;5492;365;118;125;68;54;-;-
00378V444233;IKEA;EV18 S50D1 m1850;2013-01-01T00:00+01:00;2013-02-01T00:00+01:00;2013;1;34684;-;-;-;-;-;-;-;-;Totalt i retning Drammen;31773;2911;790;827;480;814;-;-
00378V444233;IKEA;EV18 S50D1 m1850;2013-01-01T00:00+01:00;2013-02-01T00:00+01:00;2013;1;33964;-;-;-;-;-;-;-;-;Totalt i retning Oslo;31089;2875;784;826;448;817;-;-
00378V444233;IKEA;EV18 S50D1 m1850;2013-01-01T00:00+01:00;2013-02-01T00:00+01:00;2013;1;68648;-;-;-;-;-;-;-;-;Totalt;62862;5786;1574;1653;928;1631;-;-
00378V444233;IKEA;EV18 S50D1 m1850;2013-02-01T00:00+01:00;2013-03-01T00:00+01:00;2013;2;13969;-;-;-;-;-;-;-;-;1;13436;533;252;110;75;96;-;-
00378V444233;IKEA;EV18 S50D1 m1850;2013-02-01T00:00+01:00;2013-03-01T00:00+01:00;2013;2;12057;-;-;-;-;-;-;-;-;2;11570;487;229;91;69;98;-;-
00378V444233;IKEA;EV18 S50D1 m1850;2013-02-01T00:00+01:00;2013-03-01T00:00+01:00;2013;2;16286;-;-;-;-;-;-;-;-;3;14121;2165;464;692;272;737;-;-
00378V444233;IKEA;EV18 S50D1 m1850;2013-02-01T00:00+01:00;2013-03-01T00:00+01:00;2013;2;17580;-;-;-;-;-;-;-;-;4;15415;2165;481;637;369;678;-;-
00378V444233;IKEA;EV18 S50D1 m1850;2013-02-01T00:00+01:00;2013-03-01T00:00+01:00;2013;2;4708;-;-;-;-;-;-;-;-;5;4408;300;109;66;113;12;-;-
00378V444233;IKEA;EV18 S50D1 m1850;2013-02-01T00:00+01:00;2013-03-01T00:00+01:00;2013;2;5939;-;-;-;-;-;-;-;-;6;5552;387;126;137;68;56;-;-
00378V444233;IKEA;EV18 S50D1 m1850;2013-02-01T00:00+01:00;2013-03-01T00:00+01:00;2013;2;35576;-;-;-;-;-;-;-;-;Totalt i retning Drammen;32537;3039;836;865;506;832;-;-
00378V444233;IKEA;EV18 S50D1 m1850;2013-02-01T00:00+01:00;2013-03-01T00:00+01:00;2013;2;34963;-;-;-;-;-;-;-;-;Totalt i retning Oslo;31965;2998;825;868;460;845;-;-
00378V444233;IKEA;EV18 S50D1 m1850;2013-02-01T00:00+01:00;2013-03-01T00:00+01:00;2013;2;70539;-;-;-;-;-;-;-;-;Totalt;64502;6037;1661;1733;966;1677;-;-
00378V444233;IKEA;EV18 S50D1 m1850;2013-03-01T00:00+01:00;2013-04-01T00:00+02:00;2013;3;12687;-;-;-;-;-;-;-;-;1;12206;481;226;96;71;88;-;-
00378V444233;IKEA;EV18 S50D1 m1850;2013-03-01T00:00+01:00;2013-04-01T00:00+02:00;2013;3;11276;-;-;-;-;-;-;-;-;2;10864;412;196;83;54;79;-;-
00378V444233;IKEA;EV18 S50D1 m1850;2013-03-01T00:00+01:00;2013-04-01T00:00+02:00;2013;3;16123;-;-;-;-;-;-;-;-;3;14117;2006;419;661;267;659;-;-
