Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;År;Måned;Trafikkmengde;Konfidensintervall start;Konfidensintervall slutt;Dekningsgrad (%);Antall døgn total;Antall døgn inkludert;Antall døgn ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);Felt;< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
06970V72811;Kroppanbrua;EV6 S75D1 m2632;2013-01-01T00:00+01:00;2013-02-01T00:00+01:00;2013;1;3345;-;-;-;-;-;-;-;-;1;3243;102;50;33;10;9;-;-
06970V72811;Kroppanbrua;EV6 S75D1 m2632;2013-01-01T00:00+01:00;2013-02-01T00:00+01:00;2013;1;3858;-;-;-;-;-;-;-;-;2;3717;141;69;39;13;20;-;-
06970V72811;Kroppanbrua;EV6 S75D1 m2632;2013-01-01T00:00+01:00;2013-02-01T00:00+01:00;2013;1;7567;-;-;-;-;-;-;-;-;3;7028;539;155;159;143;82;-;-
06970V72811;Kroppanbrua;EV6 S75D1 m2632;2013-01-01T00:00+01:00;2013-02-01T00:00+01:00;2013;1;9755;-;-;-;-;-;-;-;-;4;8524;1231;267;411;224;329;-;-
06970V72811;Kroppanbrua;EV6 S75D1 m2632;2013-01-01T00:00+01:00;2013-02-01T00:00+01:00;2013;1;12542;-;-;-;-;-;-;-;-;5;10830;1712;313;541;293;565;-;-
06970V72811;Kroppanbrua;EV6 S75D1 m2632;2013-01-01T00:00+01:00;2013-02-01T00:00+01:00;2013;1;9098;-;-;-;-;-;-;-;-;6;8241;857;177;227;241;212;-;-
06970V72811;Kroppanbrua;EV6 S75D1 m2632;2013-01-01T00:00+01:00;2013-02-01T00:00+01:00;2013;1;23454;-;-;-;-;-;-;-;-;Totalt i retning Trondheim;21101;2353;518;733;446;656;-;-
06970V72811;Kroppanbrua;EV6 S75D1 m2632;2013-01-01T00:00+01:00;2013-02-01T00:00+01:00;2013;1;22711;-;-;-;-;-;-;-;-;Totalt i retning Heimdal;20482;2229;513;677;478;561;-;-
06970V72811;Kroppanbrua;EV6 S75D1 m2632;2013-01-01T00:00+01:00;2013-02-01T00:00+01:00;2013;1;46165;-;-;-;-;-;-;-;-;Totalt;41583;4582;1031;1410;924;1217;-;-
06970V72811;Kroppanbrua;EV6 S75D1 m2632;2013-02-01T00:00+01:00;2013-03-01T00:00+01:00;2013;2;3455;-;-;-;-;-;-;-;-;1;3346;109;53;37;10;9;-;-
06970V72811;Kroppanbrua;EV6 S75D1 m2632;2013-02-01T00:00+01:00;2013-03-01T00:00+01:00;2013;2;4176;-;-;-;-;-;-;-;-;2;4020;156;81;42;13;20;-;-
06970V72811;Kroppanbrua;EV6 S75D1 m2632;2013-02-01T00:00+01:00;2013-03-01T00:00+01:00;2013;2;7818;-;-;-;-;-;-;-;-;3;7244;574;167;165;150;92;-;-
06970V72811;Kroppanbrua;EV6 S75D1 m2632;2013-02-01T00:00+01:00;2013-03-01T00:00+01:00;2013;2;10112;-;-;-;-;-;-;-;-;4;8791;1321;287;429;236;369;-;-
06970V72811;Kroppanbrua;EV6 S75D1 m2632;2013-02-01T00:00+01:00;2013-03-01T00:00+01:00;2013;2;12670;-;-;-;-;-;-;-;-;5;10920;1750;320;538;301;591;-;-
06970V72811;Kroppanbrua;EV6 S75D1 m2632;2013-02-01T00:00+01:00;2013-03-01T00:00+01:00;2013;2;9061;-;-;-;-;-;-;-;-;6;8211;850;168;230;237;215;-;-
06970V72811;Kroppanbrua;EV6 S75D1 m2632;2013-02-01T00:00+01:00;2013-03-01T00:00+01:00;2013;2;23943;-;-;-;-;-;-;-;-;Totalt i retning Trondheim;21510;2433;540;740;461;692;-;-
06970V72811;Kroppanbrua;EV6 S75D1 m2632;2013-02-01T00:00+01:00;2013-03-01T00:00+01:00;2013;2;23349;-;-;-;-;-;-;-;-;Totalt i retning Heimdal;21022;2327;536;701;486;604;-;-
06970V72811;Kroppanbrua;EV6 S75D1 m2632;2013-02-01T00:00+01:00;2013-03-01T00:00+01:00;2013;2;47292;-;-;-;-;-;-;-;-;Totalt;42532;4760;1076;1441;947;1296;-;-
06970V72811;Kroppanbrua;EV6 S75D1 m2632;2013-03-01T00:00+01:00;2013-04-01T00:00+02:00;2013;3;2859;-;-;-;-;-;-;-;-;1;2776;83;45;27;6;5;-;-
06970V72811;Kroppanbrua;EV6 S75D1 m2632;2013-03-01T00:00+01:00;2013-04-01T00:00+02:00;2013;3;3525;-;-;-;-;-;-;-;-;2;3410;115;65;30;9;11;-;-
06970V72811;Kroppanbrua;EV6 S75D1 m2632;2013-03-01T00:00+01:00;2013-04-01T00:00+02:00;2013;3;7281;-;-;-;-;-;-;-;-;3;6787;494;155;177;107;55;-;-
06970V72811;Kroppanbrua;EV6 S75D1 m2632;2013-03-01T00:00+01:00;2013-04-01T00:00+02:00;2013;3;9254;-;-;-;-;-;-;-;-;4;8160;1094;264;407;206;217;-;-
06970V72811;Kroppanbrua;EV6 S75D1 m2632;2013-03-01T00:00+01:00;2013-04-01T00:00+02:00;2013;3;11501;-;-;-;-;-;-;-;-;5;9974;1527;308;562;312;345;-;-
06970V72811;Kroppanbrua;EV6 S75D1 m2632;2013-03-01T00:00+01:00;2013-04-01T00:00+02:00;2013;3;8448;-;-;-;-;-;-;-;-;6;7652;796;179;291;219;107;-;-
06970V72811;Kroppanbrua;EV6 S75D1 m2632;2013-03-01T00:00+01:00;2013-04-01T00:00+02:00;2013;3;21641;-;-;-;-;-;-;-;-;Totalt i retning Trondheim;19537;2104;508;766;425;405;-;-
06970V72811;Kroppanbrua;EV6 S75D1 m2632;2013-03-01T00:00+01:00;2013-04-01T00:00+02:00;2013;3;21227;-;-;-;-;-;-;-;-;Totalt i retning Heimdal;19222;2005;508;728;434;335;-;-
06970V72811;Kroppanbrua;EV6 S75D1 m2632;2013-03-01T00:00+01:00;2013-04-01T00:00+02:00;2013;3;42868;-;-;-;-;-;-;-;-;Totalt;38759;4109;1016;1494;859;740;-;-
06970V72811;Kroppanbrua;EV6 S75D1 m2632;2013-04-01T00:00+02:00;2013-05-01T00:00+02:00;2013;4;3543;-;-;-;-;-;-;-;-;1;3438;105;63;33;6;3;-;-
06970V72811;Kroppanbrua;EV6 S75D1 m2632;2013-04-01T00:00+02:00;2013-05-01T00:00+02:00;2013;4;4167;-;-;-;-;-;-;-;-;2;4027;140;81;36;12;11;-;-
06970V72811;Kroppanbrua;EV6 S75D1 m2632;2013-04-01T00:00+02:00;2013-05-01T00:00+02:00;2013;4;8517;-;-;-;-;-;-;-;-;3;7879;638;219;243;124;52;-;-
06970V72811;Kroppanbrua;EV6 S75D1 m2632;2013-04-01T00:00+02:00;2013-05-01T00:00+02:00;2013;4;10604;-;-;-;-;-;-;-;-;4;9217;1387;379;542;240;226;-;-
06970V72811;Kroppanbrua;EV6 S75D1 m2632;2013-04-01T00:00+02:00;2013-05-01T00:00+02:00;2013;4;13580;-;-;-;-;-;-;-;-;5;11615;1965;464;778;406;317;-;-
06970V72811;Kroppanbrua;EV6 S75D1 m2632;2013-04-01T00:00+02:00;2013-05-01T00:00+02:00;2013;4;9858;-;-;-;-;-;-;-;-;6;8837;1021;257;416;267;81;-;-
06970V72811;Kroppanbrua;EV6 S75D1 m2632;2013-04-01T00:00+02:00;2013-05-01T00:00+02:00;2013;4;25640;-;-;-;-;-;-;-;-;Totalt i retning Trondheim;22932;2708;746;1054;536;372;-;-
06970V72811;Kroppanbrua;EV6 S75D1 m2632;2013-04-01T00:00+02:00;2013-05-01T00:00+02:00;2013;4;24629;-;-;-;-;-;-;-;-;Totalt i retning Heimdal;22081;2548;717;994;519;318;-;-
06970V72811;Kroppanbrua;EV6 S75D1 m2632;2013-04-01T00:00+02:00;2013-05-01T00:00+02:00;2013;4;50269;-;-;-;-;-;-;-;-;Totalt;45013;5256;1463;2048;1055;690;-;-
06970V72811;Kroppanbrua;EV6 S75D1 m2632;2013-05-01T00:00+02:00;2013-06-01T00:00+02:00;2013;5;3327;-;-;-;-;-;-;-;-;1;3212;115;70;38;5;2;-;-
06970V72811;Kroppanbrua;EV6 S75D1 m2632;2013-05-01T00:00+02:00;2013-06-01T00:00+02:00;2013;5;3956;-;-;-;-;-;-;-;-;2;3802;154;96;41;11;6;-;-
06970V72811;Kroppanbrua;EV6 S75D1 m2632;2013-05-01T00:00+02:00;2013-06-01T00:00+02:00;2013;5;8187;-;-;-;-;-;-;-;-;3;7471;716;261;255;145;55;-;-
06970V72811;Kroppanbrua;EV6 S75D1 m2632;2013-05-01T00:00+02:00;2013-06-01T00:00+02:00;2013;5;10214;-;-;-;-;-;-;-;-;4;8803;1411;393;556;231;231;-;-
06970V72811;Kroppanbrua;EV6 S75D1 m2632;2013-05-01T00:00+02:00;2013-06-01T00:00+02:00;2013;5;12794;-;-;-;-;-;-;-;-;5;10826;1968;499;806;369;294;-;-
06970V72811;Kroppanbrua;EV6 S75D1 m2632;2013-05-01T00:00+02:00;2013-06-01T00:00+02:00;2013;5;9199;-;-;-;-;-;-;-;-;6;8123;1076;292;398;293;93;-;-
06970V72811;Kroppanbrua;EV6 S75D1 m2632;2013-05-01T00:00+02:00;2013-06-01T00:00+02:00;2013;5;24308;-;-;-;-;-;-;-;-;Totalt i retning Trondheim;21509;2799;830;1099;519;351;-;-
06970V72811;Kroppanbrua;EV6 S75D1 m2632;2013-05-01T00:00+02:00;2013-06-01T00:00+02:00;2013;5;23369;-;-;-;-;-;-;-;-;Totalt i retning Heimdal;20728;2641;781;995;535;330;-;-
06970V72811;Kroppanbrua;EV6 S75D1 m2632;2013-05-01T00:00+02:00;2013-06-01T00:00+02:00;2013;5;47677;-;-;-;-;-;-;-;-;Totalt;42237;5440;1611;2094;1054;681;-;-
06970V72811;Kroppanbrua;EV6 S75D1 m2632;2013-06-01T00:00+02:00;2013-07-01T00:00+02:00;2013;6;3552;-;-;-;-;-;-;-;-;1;3426;126;75;44;5;2;-;-
06970V72811;Kroppanbrua;EV6 S75D1 m2632;2013-06-01T00:00+02:00;2013-07-01T00:00+02:00;2013;6;4353;-;-;-;-;-;-;-;-;2;4177;176;108;49;13;6;-;-
06970V72811;Kroppanbrua;EV6 S75D1 m2632;2013-06-01T00:00+02:00;2013-07-01T00:00+02:00;2013;6;8710;-;-;-;-;-;-;-;-;3;7862;848;324;306;159;59;-;-
06970V72811;Kroppanbrua;EV6 S75D1 m2632;2013-06-01T00:00+02:00;2013-07-01T00:00+02:00;2013;6;10821;-;-;-;-;-;-;-;-;4;9238;1583;461;612;256;254;-;-
06970V72811;Kroppanbrua;EV6 S75D1 m2632;2013-06-01T00:00+02:00;2013-07-01T00:00+02:00;2013;6;13663;-;-;-;-;-;-;-;-;5;11471;2192;579;892;395;326;-;-
06970V72811;Kroppanbrua;EV6 S75D1 m2632;2013-06-01T00:00+02:00;2013-07-01T00:00+02:00;2013;6;9657;-;-;-;-;-;-;-;-;6;8456;1201;355;448;296;102;-;-
06970V72811;Kroppanbrua;EV6 S75D1 m2632;2013-06-01T00:00+02:00;2013-07-01T00:00+02:00;2013;6;25925;-;-;-;-;-;-;-;-;Totalt i retning Trondheim;22759;3166;978;1242;559;387;-;-
06970V72811;Kroppanbrua;EV6 S75D1 m2632;2013-06-01T00:00+02:00;2013-07-01T00:00+02:00;2013;6;24831;-;-;-;-;-;-;-;-;Totalt i retning Heimdal;21871;2960;924;1109;565;362;-;-
06970V72811;Kroppanbrua;EV6 S75D1 m2632;2013-06-01T00:00+02:00;2013-07-01T00:00+02:00;2013;6;50756;-;-;-;-;-;-;-;-;Totalt;44630;6126;1902;2351;1124;749;-;-
