
z test of coefficients:

                               Estimate  Std. Error  z value  Pr(>|z|)    
(Intercept)                  23040.4401   2065.3243  11.1558 < 2.2e-16 ***
Oslo_price                      21.8057      8.1741   2.6677 0.0076381 ** 
e_crisis                      1105.2330   1204.5932   0.9175 0.3588725    
NonPrivate                       4.3882      0.2603  16.8583 < 2.2e-16 ***
factor(numroad)2            -20113.7721    593.7636 -33.8750 < 2.2e-16 ***
factor(numroad)3            -10399.1468    570.5702 -18.2259 < 2.2e-16 ***
factor(numroad)4            -13617.8461    657.4908 -20.7118 < 2.2e-16 ***
factor(numroad)5              1048.1104   1210.4744   0.8659 0.3865629    
factor(numroad)6             11157.6087    554.2311  20.1317 < 2.2e-16 ***
factor(numroad)7             -5952.6910    639.4119  -9.3096 < 2.2e-16 ***
factor(numroad)8            -11735.2683    671.5673 -17.4744 < 2.2e-16 ***
factor(numroad)9             -3394.4642    656.1656  -5.1732 2.301e-07 ***
factor(numroad)10             6005.8865    446.8398  13.4408 < 2.2e-16 ***
time_to_crisis::-40:e_treat   5704.7475    832.8887   6.8494 7.419e-12 ***
time_to_crisis::-39:e_treat   2451.0071    804.2906   3.0474 0.0023082 ** 
time_to_crisis::-38:e_treat   3640.1491    718.4757   5.0665 4.052e-07 ***
time_to_crisis::-36:e_treat   6632.9016    784.0512   8.4598 < 2.2e-16 ***
time_to_crisis::-35:e_treat   3106.7925    638.9554   4.8623 1.160e-06 ***
time_to_crisis::-34:e_treat   4938.7502    796.2908   6.2022 5.568e-10 ***
time_to_crisis::-33:e_treat   4932.7884    916.2800   5.3835 7.305e-08 ***
time_to_crisis::-32:e_treat   4149.5635    978.4139   4.2411 2.224e-05 ***
time_to_crisis::-31:e_treat   3276.4716    770.2046   4.2540 2.100e-05 ***
time_to_crisis::-30:e_treat  -1736.1803   1222.0262  -1.4207 0.1553926    
time_to_crisis::-29:e_treat   2508.8043   1263.6086   1.9854 0.0470968 *  
time_to_crisis::-28:e_treat   3855.5709    792.6931   4.8639 1.151e-06 ***
time_to_crisis::-27:e_treat   1210.8013    943.8670   1.2828 0.1995589    
time_to_crisis::-26:e_treat   2143.3571    953.3306   2.2483 0.0245581 *  
time_to_crisis::-25:e_treat   3830.9565    864.8591   4.4296 9.442e-06 ***
time_to_crisis::-24:e_treat   1750.4616    707.7689   2.4732 0.0133905 *  
time_to_crisis::-22:e_treat   4679.9639    736.9588   6.3504 2.148e-10 ***
